no,city,gugun,companyname,industrycode,industryname,checkdate,checkdetail,address
176,서울특별시,성북구,삼덕세차장,22,폐수배출업소관리,20140528,폐수 배출시설 및 방지시설 적정운영여부,서울특별시 성북구 북악산로 852-1  (정릉동)
177,서울특별시,성북구,을지운수(주),22,폐수배출업소관리,20140521,폐수 배출시설 및 방지시설 적정운영여부,
178,서울특별시,성북구,영도상운주식회사,22,폐수배출업소관리,20140521,폐수 배출시설 및 방지시설 적정운영여부,서울특별시 성북구 보국문로 58 (정릉동)
179,서울특별시,성북구,차병원,22,폐수배출업소관리,20140521,폐수 배출시설 및 방지시설 적정운영여부,
180,서울특별시,성북구,(주)아띠모,22,폐수배출업소관리,20140521,폐수 배출시설 및 방지시설 적정운영여부,서울특별시 성북구 보문로29길 60  (삼선동5가)
181,서울특별시,성북구,도원교통(주),22,폐수배출업소관리,20140516,폐수 배출시설 및 방지시설 적정운영여부,서울특별시 성북구 정릉로10길 17 (정릉동)
182,서울특별시,성북구,카맥셀프세차장,22,폐수배출업소관리,20140516,폐수 배출시설 및 방지시설 적정운영여부,서울특별시 성북구 정릉로 203 (정릉동)
183,서울특별시,성북구,대왕기업(주),22,폐수배출업소관리,20140516,폐수배출시설 및 방지시설 적정 운영여부,서울특별시 성북구 보국문로 67 (정릉동)
184,서울특별시,성북구,유투바이오진단검사의학과,22,폐수배출업소관리,20140515,폐수배출시설 및 방지시설 적정 운영여부,서울특별시 성북구 화랑로 275 (장위동)
185,서울특별시,성북구,동덕여자대학교,22,폐수배출업소관리,20140515,폐수배출시설 및 방지시설 적정 운영여부,
186,서울특별시,성북구,도원교통(주),22,폐수배출업소관리,20140514,폐수배출시설 및 방지시설 적정 운영여부,서울특별시 성북구 정릉로10길 17 (정릉동)
187,서울특별시,성북구,대진여객(주),22,폐수배출업소관리,20140514,폐수배출시설 및 방지시설 적정 운영여부,서울특별시 성북구 보국문로 204 (정릉동 대진여객)
188,서울특별시,성북구,우리주유소,22,폐수배출업소관리,20140423,폐수 배출시설 및 방지시설 적정운영여부,서울특별시 성북구 화랑로 292  (석관동)
189,서울특별시,성북구,금호카세차장,22,폐수배출업소관리,20140417,폐수 배출시설 및 방지시설 적정운영여부,서울특별시 성북구 화랑로 118  (하월곡동)
190,서울특별시,성북구,신명에너지(주) 화랑로주유소,22,폐수배출업소관리,20140319,폐수배출시설 및 방지시설 운영 적정여부,서울특별시 성북구 화랑로 174 (상월곡동)
191,서울특별시,성북구,주식회사 중앙에너비스종암지점,22,폐수배출업소관리,20140319,폐수 배출시설 및 방지시설 적정운영 여부,서울특별시 성북구 종암로 58  (종암동)
192,서울특별시,성북구,으뜸세차장,22,폐수배출업소관리,20140312,폐수배출시설 및 방지시설 운영 적정여부,서울특별시 성북구 오패산로1길 9 (하월곡동)
193,서울특별시,성북구,대륙여객자동차(주),22,폐수배출업소관리,20140312,폐수배출시설 및 방지시설 운영 적정여부,서울특별시 성북구 한천로 624 (장위동)
194,서울특별시,성북구,영광교통(주),22,폐수배출업소관리,20140305,폐수배출시설 및 방지시설 운영 적정여부,서울특별시 성북구 한천로 618 (장위동)
195,서울특별시,성북구,성진운수(주),22,폐수배출업소관리,20140305,폐수배출시설 및 방지시설 운영 적정여부,서울특별시 성북구 한천로84길 8 (장위동)
196,서울특별시,성북구,의료법인참예원의료재단 성북참노인전문병원,22,폐수배출업소관리,20140304,폐수배출시설 및 방지시설 운영 적정여부,서울특별시 성북구 북악산로1길 71  (정릉동)
197,서울특별시,성북구,고려대학교보건과학대학,22,폐수배출업소관리,20140304,폐수배출시설 및 방지시설 운영 적정여부,
198,서울특별시,성북구,대진여객(주),22,폐수배출업소관리,20140122,설연휴 환경오염행위 감시,
199,서울특별시,성북구,상진운수(주),22,폐수배출업소관리,20140122,설연휴 환경오염행위 감시,
200,서울특별시,성북구,도원교통(주),22,폐수배출업소관리,20140122,설연휴 환경오염행위 감시,서울특별시 성북구 정릉로10길 17 (정릉동)
201,서울특별시,성북구,(주)온누리모터스,21,대기배출업소관리,20131230,대기배출시설 가동개시신고 적정여부,서울특별시 성북구 보문로 41 (보문동7가)
202,서울특별시,성북구,카맥셀프세차장,22,폐수배출업소관리,20131218,폐수배출시설 및 방지시설 적정운영여부,서울특별시 성북구 정릉로 203 (정릉동)
203,서울특별시,성북구,성진운수(주),22,폐수배출업소관리,20131218,폐수배출시설 및 방지시설 적정운영여부,서울특별시 성북구 한천로84길 8 (장위동)
204,서울특별시,성북구,명성자동차외형복원,21,대기배출업소관리,20131119,무신고 대기배출시설 설치 여부,
205,서울특별시,성북구,명진카오토프라자,22,폐수배출업소관리,20130828,폐수배출시설 및 방지지설 운영 현황,
206,서울특별시,성북구,월곡윤활유급유소,22,폐수배출업소관리,20130821,배출시설 및 방지시설 점검,서울특별시 성북구 화랑로 160 (상월곡동)
207,서울특별시,성북구,메트로셀프세차장,22,폐수배출업소관리,20130821,배출시설 및 방ㅈ비시설 점검,
208,서울특별시,성북구,고려대학교,22,폐수배출업소관리,20130819,개선명령 이행보고 사항 점검,
209,서울특별시,성북구,동성자동차공업(주),21,대기배출업소관리,20130814,배출시설 및 방지시설 운영 사항,
210,서울특별시,성북구,도원교통(주),21,대기배출업소관리,20130814,배출시설 및 방지시설 점검,
211,서울특별시,성북구,카맥셀프세차장,22,폐수배출업소관리,20130814,배출시설 및 방지시설 지도 점검,서울특별시 성북구 정릉로 203 (정릉동)
212,서울특별시,성북구,도원교통(주),22,폐수배출업소관리,20130814,배출시설 및 방지시설 점검,서울특별시 성북구 정릉로10길 17 (정릉동)
213,서울특별시,성북구,대륙여객자동차(주),22,폐수배출업소관리,20130809,배출시설 및 방지시설 지도 점검,서울특별시 성북구 한천로 624 (장위동)
214,서울특별시,성북구,아리수세차장,22,폐수배출업소관리,20130809,배출시설 및 방지시설 점검,서울특별시 성북구 한천로 620 (장위동)
215,서울특별시,성북구,카맥24시셀프세차장,22,폐수배출업소관리,20121221,배출 및 방지시설 정상가동 여부,서울특별시 성북구 정릉로 203 (정릉동)
216,서울특별시,성북구,보성세차장,22,폐수배출업소관리,20121221,배출 및 방지시설 정상가동 여부,
217,서울특별시,성북구,성북중앙병원,22,폐수배출업소관리,20121220,배출 및 방지시설 정상가동 여부,
218,서울특별시,성북구,주식회사 중앙에너비스종암지점,22,폐수배출업소관리,20121207,배출 및 방지시설 정상가동 여부,
219,서울특별시,성북구,성가복지병원,22,폐수배출업소관리,20121207,배출및방지시설 정상가동 여부,
220,서울특별시,성북구,(주)아띠모,22,폐수배출업소관리,20121206,배출및방지시설정상가동여부,
221,서울특별시,성북구,으뜸세차장,22,폐수배출업소관리,20121206,배출및방지시설정상사동여부,
222,서울특별시,성북구,성가복지병원,22,,20121206,배출및방지시설 정상가동 여부,
223,서울특별시,성북구,동흥개발-주,22,폐수배출업소관리,20121205,배출및방지시설정상가동여부,
224,서울특별시,성북구,카맥24시셀프세차장,22,폐수배출업소관리,20121205,배출및방지시설정상가동여부,서울특별시 성북구 정릉로 203 (정릉동)
225,서울특별시,성북구,동흥개발-주,22,폐수배출업소관리,20121205,배출및방지시설정상가동여부,
226,서울특별시,성북구,워시오케이,22,폐수배출업소관리,20121204,배출및방지시설 정상가동여부,
227,서울특별시,성북구,서울척병원,22,폐수배출업소관리,20121204,배출및방지시설 정상가동여부,
228,서울특별시,성북구,성북중앙병원,22,폐수배출업소관리,20121204,배출및방지시설 정상가동 여부,
229,서울특별시,성북구,고려대학교의과대학부속병원,22,폐수배출업소관리,20121126,배출 및 방지시설 적정가동 유무,
230,서울특별시,성북구,청수세차장,22,,20121031,폐수배출시설 및 방지시설 적정가동 여부 등,
231,서울특별시,성북구,유투바이오진단검사의학과,22,,20121031,배출및방지시설 정상가동여부,
232,서울특별시,성북구,성실산업,22,,20121031,배출및방지시설 정상가동 여부,
233,서울특별시,성북구,성북소방서세차장,22,폐수배출업소관리,20121030,배출 및 방지시설 정상가동 여부,
234,서울특별시,성북구,동덕여자대학교,22,폐수배출업소관리,20121030,배출 및 방지시설 정상가동 여부,
235,서울특별시,성북구,정현카세차장,22,폐수배출업소관리,20121030,배출 및 방지지설 정상가동 여부,
236,서울특별시,성북구,성북참노인전문병원,22,폐수배출업소관리,20121026,배출 및 방지시설 적정운영 여부,
